country,cell_lon,cell_lat,annual_wind_speed
Denmark,11.968456375838926,54.54563758389262,6.846
Denmark,12.017449664429531,54.54563758389262,6.904
Denmark,12.066442953020136,54.54563758389262,6.953
Denmark,12.11543624161074,54.54563758389262,6.99
Denmark,12.164429530201343,54.54563758389262,7.017
Denmark,11.233557046979866,54.56845637583893,6.008
Denmark,11.28255033557047,54.56845637583893,6.01
Denmark,11.331543624161075,54.56845637583893,6.02
Denmark,11.380536912751678,54.56845637583893,6.039
Denmark,11.429530201342281,54.56845637583893,6.067
Denmark,11.478523489932886,54.56845637583893,6.104
Denmark,11.527516778523491,54.56845637583893,6.149
Denmark,11.576510067114095,54.56845637583893,6.202
Denmark,11.625503355704698,54.56845637583893,6.262
Denmark,11.674496644295303,54.56845637583893,6.329
Denmark,11.723489932885906,54.56845637583893,6.4
Denmark,11.772483221476511,54.56845637583893,6.475
Denmark,11.821476510067114,54.56845637583893,6.551
Denmark,11.87046979865772,54.56845637583893,6.627
Denmark,11.919463087248323,54.56845637583893,6.699
Denmark,11.968456375838926,54.56845637583893,6.765
Denmark,12.017449664429531,54.56845637583893,6.824
Denmark,12.066442953020136,54.56845637583893,6.874
Denmark,12.11543624161074,54.56845637583893,6.915
Denmark,12.164429530201343,54.56845637583893,6.947
Denmark,11.184563758389263,54.591275167785234,5.991
Denmark,11.233557046979866,54.591275167785234,5.984
Denmark,11.28255033557047,54.591275167785234,5.984
Denmark,11.331543624161075,54.591275167785234,5.992
Denmark,11.380536912751678,54.591275167785234,6.008
Denmark,11.429530201342281,54.591275167785234,6.032
Denmark,11.478523489932886,54.591275167785234,6.064
Denmark,11.527516778523491,54.591275167785234,6.104
Denmark,11.576510067114095,54.591275167785234,6.151
Denmark,11.625503355704698,54.591275167785234,6.206
Denmark,11.674496644295303,54.591275167785234,6.266
Denmark,11.723489932885906,54.591275167785234,6.332
Denmark,11.772483221476511,54.591275167785234,6.401
Denmark,11.821476510067114,54.591275167785234,6.472
Denmark,11.87046979865772,54.591275167785234,6.543
Denmark,11.919463087248323,54.591275167785234,6.612
Denmark,11.968456375838926,54.591275167785234,6.676
Denmark,12.017449664429531,54.591275167785234,6.735
Denmark,12.066442953020136,54.591275167785234,6.787
Denmark,12.11543624161074,54.591275167785234,6.832
Denmark,12.164429530201343,54.591275167785234,6.869
Denmark,10.645637583892618,54.61409395973154,6.301
Denmark,10.694630872483222,54.61409395973154,6.279
Denmark,10.743624161073825,54.61409395973154,6.249
Denmark,10.79261744966443,54.61409395973154,6.213
Denmark,11.086577181208053,54.61409395973154,6.003
Denmark,11.135570469798658,54.61409395973154,5.981
Denmark,11.184563758389263,54.61409395973154,5.967
Denmark,11.233557046979866,54.61409395973154,5.958
Denmark,11.28255033557047,54.61409395973154,5.956
Denmark,11.331543624161075,54.61409395973154,5.962
Denmark,11.380536912751678,54.61409395973154,5.975
Denmark,11.429530201342281,54.61409395973154,5.994
