cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density
5.738738955823294,50.84131726907631,4.084346378434764,0,7227,2246
5.760457831325302,50.84131726907631,4.082231730148981,0,8473,336
5.782176706827309,50.84131726907631,4.074138199310766,0,9800,336
5.803895582329318,50.84131726907631,4.060172794997744,0,11178,336
5.825614457831326,50.84131726907631,4.040562660695825,0,12081,447
5.847333333333333,50.84131726907631,4.015644857845755,0,10555,447
5.869052208835342,50.84131726907631,3.985850318409164,0,9029,447
5.89077108433735,50.84131726907631,3.951683595442457,0,7505,192
5.912489959839357,50.84131726907631,3.913700329980415,0,5984,192
5.934208835341366,50.84131726907631,3.872484360103957,0,4470,393
5.955927710843374,50.84131726907631,3.828626162528062,0,2971,192
5.977646586345382,50.84131726907631,3.782703916026069,0,1534,640
5.99936546184739,50.84131726907631,3.7352680014670634,0,749,1948
5.630144578313253,50.85806024096385,4.0152284742649,0,2686,0
5.6518634538152615,50.85806024096385,4.04015663221405,0,2201,2246
5.67358232931727,50.85806024096385,4.060244600514022,0,2674,2246
5.695301204819277,50.85806024096385,4.075083477610478,0,3706,2246
5.717020080321285,50.85806024096385,4.084336529704957,0,4892,2246
5.738738955823294,50.85806024096385,4.087759791407137,0,6230,2246
5.760457831325302,50.85806024096385,4.085218704520699,0,7640,447
5.782176706827309,50.85806024096385,4.076699052945338,1,9088,447
5.803895582329318,50.85806024096385,4.062310982965252,0,10559,447
5.825614457831326,50.85806024096385,4.042285636732684,1,12045,447
5.847333333333333,50.85806024096385,4.016964748250154,1,10589,447
5.869052208835342,50.85806024096385,3.9867843101254663,0,9069,447
5.89077108433735,50.85806024096385,3.952253986468544,0,7554,393
5.912489959839357,50.85806024096385,3.913934240879303,0,6047,393
5.934208835341366,50.85806024096385,3.872413150282281,0,4553,393
5.955927710843374,50.85806024096385,3.828284626766356,0,3096,393
5.977646586345382,50.85806024096385,3.782129352192449,0,1764,1948
5.99936546184739,50.85806024096385,3.734499240037377,0,1149,1948
